,group,axis,value,description
1,Clinically isolated syndrome,Trouble with Bowel Movements,28.735632183908045,[symptoms4]:Trouble with bowel movements (Troublebowelmovements1)
2,Relapsing remitting,Trouble with Bowel Movements,57.10955710955711,[symptoms4]:Trouble with bowel movements (Troublebowelmovements1)
3,Secondary progressive,Trouble with Bowel Movements,83.52668213457076,[symptoms4]:Trouble with bowel movements (Troublebowelmovements1)
4,Primary progressive,Trouble with Bowel Movements,72.86821705426357,[symptoms4]:Trouble with bowel movements (Troublebowelmovements1)
5,Not Sure,Trouble with Bowel Movements,65.625,[symptoms4]:Trouble with bowel movements (Troublebowelmovements1)
6,Clinically isolated syndrome,Fatigue,81.60919540229885,[symptoms4]:Fatigue (Fatigue2)
7,Relapsing remitting,Fatigue,95.26029526029525,[symptoms4]:Fatigue (Fatigue2)
8,Secondary progressive,Fatigue,97.6798143851508,[symptoms4]:Fatigue (Fatigue2)
9,Primary progressive,Fatigue,94.96124031007753,[symptoms4]:Fatigue (Fatigue2)
10,Not Sure,Fatigue,93.75,[symptoms4]:Fatigue (Fatigue2)
11,Clinically isolated syndrome,Depression ,42.5287356321839,[symptoms4]:Changes in mood or depression considered out of the ordinary (Depression)
12,Relapsing remitting,Depression ,68.45376845376845,[symptoms4]:Changes in mood or depression considered out of the ordinary (Depression)
13,Secondary progressive,Depression ,75.4060324825986,[symptoms4]:Changes in mood or depression considered out of the ordinary (Depression)
14,Primary progressive,Depression ,60.07751937984496,[symptoms4]:Changes in mood or depression considered out of the ordinary (Depression)
15,Not Sure,Depression ,71.875,[symptoms4]:Changes in mood or depression considered out of the ordinary (Depression)
16,Clinically isolated syndrome,Leg Paralysis,9.195402298850574,[symptoms4]:Total paralysis of legs (Legstotalparalysis)
17,Relapsing remitting,Leg Paralysis,15.306915306915306,[symptoms4]:Total paralysis of legs (Legstotalparalysis)
18,Secondary progressive,Leg Paralysis,32.25058004640371,[symptoms4]:Total paralysis of legs (Legstotalparalysis)
19,Primary progressive,Leg Paralysis,22.48062015503876,[symptoms4]:Total paralysis of legs (Legstotalparalysis)
20,Not Sure,Leg Paralysis,20.3125,[symptoms4]:Total paralysis of legs (Legstotalparalysis)
21,Clinically isolated syndrome,Arm Paralysis,8.045977011494253,[symptoms4]:Total paralysis of arms (Armstotalparalysis)
22,Relapsing remitting,Arm Paralysis,11.11111111111111,[symptoms4]:Total paralysis of arms (Armstotalparalysis)
23,Secondary progressive,Arm Paralysis,19.489559164733176,[symptoms4]:Total paralysis of arms (Armstotalparalysis)
24,Primary progressive,Arm Paralysis,14.34108527131783,[symptoms4]:Total paralysis of arms (Armstotalparalysis)
25,Not Sure,Arm Paralysis,12.5,[symptoms4]:Total paralysis of arms (Armstotalparalysis)
26,Clinically isolated syndrome,Need for Mechanical Ventilation ,6.896551724137931,[symptoms4]:Need for mechanical ventilation (MechanicalVentilation)
27,Relapsing remitting,Need for Mechanical Ventilation ,6.75990675990676,[symptoms4]:Need for mechanical ventilation (MechanicalVentilation)
28,Secondary progressive,Need for Mechanical Ventilation ,11.832946635730858,[symptoms4]:Need for mechanical ventilation (MechanicalVentilation)
29,Primary progressive,Need for Mechanical Ventilation ,8.527131782945736,[symptoms4]:Need for mechanical ventilation (MechanicalVentilation)
30,Not Sure,Need for Mechanical Ventilation ,9.375,[symptoms4]:Need for mechanical ventilation (MechanicalVentilation)
31,Clinically isolated syndrome,MS Hug,89.65517241379311,"[symptoms4]:""MS hug"" (feeling of tightness in the torso) (MShug)"
32,Relapsing remitting,MS Hug,90.20979020979021,"[symptoms4]:""MS hug"" (feeling of tightness in the torso) (MShug)"
33,Secondary progressive,MS Hug,89.32714617169374,"[symptoms4]:""MS hug"" (feeling of tightness in the torso) (MShug)"
34,Primary progressive,MS Hug,84.49612403100775,"[symptoms4]:""MS hug"" (feeling of tightness in the torso) (MShug)"
35,Not Sure,MS Hug,92.1875,"[symptoms4]:""MS hug"" (feeling of tightness in the torso) (MShug)"
36,Clinically isolated syndrome,Restless Leg,91.95402298850574,[symptoms4]:Restless leg syndrome (RestlessLeg)
37,Relapsing remitting,Restless Leg,90.67599067599068,[symptoms4]:Restless leg syndrome (RestlessLeg)
38,Secondary progressive,Restless Leg,93.50348027842227,[symptoms4]:Restless leg syndrome (RestlessLeg)
39,Primary progressive,Restless Leg,93.02325581395348,[symptoms4]:Restless leg syndrome (RestlessLeg)
40,Not Sure,Restless Leg,93.75,[symptoms4]:Restless leg syndrome (RestlessLeg)
